iter	Passed	Remaining
896	40203	49435
897	40248	49391
898	40299	49354
899	40346	49311
900	40402	49280
901	40456	49247
902	40508	49211
903	40552	49165
904	40611	49137
905	40657	49093
906	40680	49022
907	40735	48990
908	40779	48944
909	40810	48883
910	40883	48871
911	40918	48815
912	40954	48759
913	41012	48730
914	41042	48667
915	41109	48649
916	41161	48612
917	41211	48573
918	41269	48544
919	41328	48516
920	41382	48481
921	41451	48465
922	41492	48415
923	41549	48383
924	41602	48348
925	41650	48307
926	41706	48275
927	41761	48242
928	41819	48211
929	41889	48195
930	41933	48149
931	41986	48112
932	42041	48080
933	42093	48042
934	42137	47995
935	42188	47957
936	42242	47922
937	42278	47868
938	42331	47831
939	42375	47784
940	42417	47736
941	42471	47701
942	42514	47653
943	42558	47607
944	42593	47551
945	42634	47502
946	42674	47450
947	42716	47402
948	42775	47372
949	42815	47321
950	42860	47277
951	42905	47232
952	42958	47195
953	43013	47161
954	43078	47138
955	43135	47106
956	43181	47061
957	43241	47032
958	43285	46986
959	43341	46953
960	43412	46936
961	43471	46905
962	43512	46855
963	43566	46820
964	43605	46768
965	43650	46723
966	43701	46684
967	43756	46649
968	43797	46599
969	43836	46548
970	43869	46489
971	43894	46422
972	43979	46420
973	44009	46359
974	44045	46304
975	44082	46250
976	44130	46208
977	44160	46147
978	44190	46086
979	44240	46046
980	44273	45988
981	44303	45927
982	44339	45873
983	44382	45825
984	44424	45777
985	44474	45737
986	44505	45678
987	44557	45640
988	44632	45625
989	44658	45561
990	44691	45503
991	44751	45473
992	44784	45416
993	44838	45379
994	44869	45320
995	44910	45271
996	44967	45237
997	44997	45178
998	45057	45147
999	45101	45101
1000	45156	45066
1001	45219	45038
1002	45257	44987
1003	45298	44937
1004	45334	44883
1005	45395	44853
1006	45447	44815
1007	45499	44777
1008	45577	44764
1009	45635	44731
1010	45681	44687
1011	45735	44650
1012	45792	44617
1013	45827	44561
1014	45864	44509
1015	45903	44457
1016	45954	44418
1017	45986	44360
1018	46038	44322
1019	46096	44288
1020	46143	44245
1021	46198	44209
1022	46231	44153
1023	46257	44088
1024	46316	44057
1025	46369	44019
1026	46426	43985
1027	46480	43948
1028	46530	43907
1029	46606	43891
1030	46677	43870
1031	46709	43812
1032	46778	43789
1033	46859	43778
1034	46909	43736
1035	46944	43682
1036	47031	43675
1037	47095	43647
1038	47152	43612
1039	47245	43610
1040	47303	43577
1041	47365	43546
1042	47424	43514
1043	47471	43469
1044	47530	43437
1045	47584	43399
1046	47641	43364
1047	47707	43337
1048	47784	43320
1049	47827	43272
1050	47872	43226
1051	47918	43181
1052	47971	43142
1053	48032	43110
1054	48068	43056
1055	48121	43017
1056	48173	42977
1057	48204	42919
1058	48245	42870
1059	48307	42838
1060	48354	42794
1061	48405	42753
1062	48467	42722
1063	48546	42706
1064	48611	42677
1065	48653	42628
1066	48678	42565
1067	48719	42515
1068	48772	42476
1069	48834	42444
1070	48862	42383
1071	48904	42335
1072	48958	42296
1073	48984	42234
1074	49034	42192
1075	49078	42145
1076	49119	42095
1077	49199	42080
1078	49264	42050
1079	49301	41997
1080	49346	41951
1081	49395	41908
1082	49427	41851
1083	49476	41808
1084	49544	41781
1085	49584	41731
1086	49618	41675
1087	49665	41631
1088	49708	41583
1089	49782	41561
1090	49846	41531
1091	49906	41497
1092	49933	41436
1093	49998	41406
1094	50035	41353
1095	50079	41306
1096	50116	41253
1097	50155	41202
1098	50207	41162
1099	50246	41110
1100	50301	41072
1101	50358	41035
1102	50417	41001
1103	50467	40959
1104	50529	40926
1105	50573	40879
1106	50624	40838
1107	50662	40786
1108	50692	40727
1109	50737	40681
1110	50779	40632
1111	50827	40589
1112	50867	40538
1113	50938	40513
1114	51002	40482
1115	51033	40424
1116	51098	40393
1117	51156	40358
1118	51216	40323
1119	51245	40264
1120	51279	40209
1121	51316	40156
1122	51354	40104
1123	51391	40052
1124	51436	40006
1125	51487	39964
1126	51540	39924
1127	51577	39872
1128	51657	39852
1129	51698	39803
1130	51753	39764
1131	51796	39716
1132	51839	39668
1133	51887	39624
1134	51944	39587
1135	52008	39555
1136	52062	39516
1137	52134	39490
1138	52176	39441
1139	52237	39407
1140	52278	39358
1141	52339	39323
1142	52365	39262
1143	52434	39234
1144	52514	39213
1145	52590	39190
1146	52643	39149
1147	52711	39120
1148	52777	39089
1149	52826	39045
1150	52863	38993
1151	52924	38957
1152	52979	38919
1153	53030	38877
1154	53073	38828
1155	53121	38784
1156	53172	38741
1157	53209	38689
1158	53254	38643
1159	53305	38600
1160	53351	38554
1161	53403	38513
1162	53445	38464
1163	53496	38421
1164	53553	38384
1165	53591	38332
1166	53657	38300
1167	53711	38260
1168	53757	38214
1169	53799	38165
1170	53876	38141
1171	53923	38096
1172	54013	38081
1173	54083	38051
1174	54128	38005
1175	54170	37956
1176	54215	37909
1177	54241	37849
1178	54275	37794
1179	54310	37740
1180	54365	37701
1181	54458	37688
1182	54511	37646
1183	54563	37604
1184	54623	37568
1185	54680	37529
1186	54756	37504
1187	54809	37462
1188	54876	37430
1189	54911	37376
1190	54946	37322
1191	55007	37286
1192	55067	37250
1193	55111	37202
1194	55174	37167
1195	55227	37126
1196	55276	37081
1197	55321	37035
1198	55376	36994
1199	55425	36950
1200	55479	36909
1201	55527	36864
1202	55580	36822
1203	55635	36782
1204	55703	36750
1205	55765	36714
1206	55818	36672
1207	55852	36618
1208	55881	36560
1209	55926	36513
1210	55982	36473
1211	56031	36429
1212	56106	36402
1213	56152	36355
1214	56206	36314
1215	56275	36282
1216	56312	36230
1217	56370	36191
1218	56429	36154
1219	56470	36104
1220	56514	36056
1221	56596	36032
1222	56627	35976
1223	56667	35926
1224	56732	35892
1225	56821	35872
1226	56905	35849
1227	56945	35799
1228	56987	35750
1229	57037	35706
1230	57126	35686
1231	57178	35643
1232	57226	35598
1233	57274	35552
1234	57316	35504
1235	57369	35461
1236	57429	35423
1237	57494	35388
1238	57533	35337
1239	57579	35290
1240	57624	35243
1241	57677	35200
1242	57719	35151
1243	57773	35110
1244	57825	35066
1245	57875	35022
1246	57926	34978
1247	57989	34942
1248	58060	34910
1249	58110	34866
1250	58154	34818
1251	58189	34764
1252	58236	34718
1253	58295	34679
1254	58352	34639
1255	58401	34594
1256	58439	34542
1257	58500	34504
1258	58557	34464
1259	58587	34408
1260	58628	34358
1261	58658	34302
1262	58730	34271
1263	58783	34228
1264	58831	34182
1265	58896	34147
1266	58927	34091
1267	58966	34040
1268	59005	33989
1269	59064	33950
1270	59126	33912
1271	59173	33866
1272	59216	33817
1273	59266	33773
1274	59313	33727
1275	59355	33678
1276	59407	33634
1277	59448	33585
1278	59491	33536
1279	59534	33487
1280	59560	33430
1281	59603	33381
1282	59644	33332
1283	59694	33287
1284	59734	33237
1285	59787	33194
1286	59835	33148
1287	59893	33109
1288	59943	33064
1289	59982	33013
1290	60040	32973
1291	60084	32925
1292	60143	32885
1293	60179	32833
1294	60235	32792
1295	60291	32750
1296	60342	32707
1297	60392	32662
1298	60425	32608
1299	60488	32570
1300	60522	32517
1301	60561	32466
1302	60601	32416
1303	60651	32372
1304	60694	32323
1305	60738	32276
1306	60788	32231
1307	60834	32184
1308	60877	32136
1309	60913	32084
1310	60950	32032
1311	60987	31981
1312	61032	31934
1313	61088	31892
1314	61137	31847
1315	61176	31797
1316	61227	31752
1317	61275	31707
1318	61320	31659
1319	61362	31611
1320	61405	31562
1321	61448	31514
1322	61507	31474
1323	61536	31419
1324	61592	31377
1325	61637	31330
1326	61696	31289
1327	61746	31244
1328	61786	31195
1329	61840	31152
1330	61924	31125
1331	61959	31072
1332	62019	31033
1333	62058	30982
1334	62100	30933
1335	62178	30903
1336	62233	30860
1337	62288	30818
1338	62342	30775
1339	62385	30727
1340	62460	30694
1341	62519	30654
1342	62568	30608
1343	62627	30568
1344	62666	30517
1345	62754	30491
1346	62807	30447
1347	62874	30411
1348	62911	30359
1349	62946	30307
1350	62990	30259
1351	63037	30213
1352	63070	30160
1353	63131	30120
1354	63194	30081
1355	63215	30022
1356	63272	29981
1357	63327	29938
